id;placed_date;status;code;invoice_id;customer_id
1;2019-11-05T03:44:53;PENDING;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-11-05T08:34:36;CANCELLED;Frozen Analyst card;redundant;2
3;2019-11-05T04:07:31;PENDING;Chips;navigating;3
4;2019-11-04T17:55:19;PENDING;Optimized;microchip;4
5;2019-11-04T18:46:50;PENDING;e-markets system;Organic;5
6;2019-11-05T02:04:55;COMPLETED;leading-edge;Ergonomic Steel Gloves;6
7;2019-11-04T14:05:39;COMPLETED;online e-business;systems integrate;7
8;2019-11-04T19:50:41;COMPLETED;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-11-04T20:34:00;PENDING;North Carolina Granite;Somalia Web revolutionize;9
10;2019-11-04T11:33:24;COMPLETED;yellow;Books Generic;10
